0;param1;param2;good;bad
487;31.7;0.475;424.0;26.0
488;31.7;0.5;435.0;15.0
489;31.7;0.5250000000000001;435.0;15.0
490;31.7;0.55;435.0;15.0
491;31.8;0.45;424.0;26.0
492;31.8;0.475;424.0;26.0
493;31.8;0.5;435.0;15.0
494;31.8;0.5250000000000001;435.0;15.0
495;31.8;0.55;435.0;15.0
496;31.9;0.45;424.0;26.0
497;31.9;0.475;424.0;26.0
498;31.9;0.5;435.0;15.0
499;31.9;0.5250000000000001;435.0;15.0
500;31.9;0.55;435.0;15.0
501;32.0;0.45;424.0;26.0
502;32.0;0.475;424.0;26.0
503;32.0;0.5;435.0;15.0
504;32.0;0.5250000000000001;435.0;15.0
505;32.0;0.55;435.0;15.0
506;32.1;0.45;424.0;26.0
507;32.1;0.475;424.0;26.0
508;32.1;0.5;435.0;15.0
509;32.1;0.5250000000000001;435.0;15.0
510;32.1;0.55;435.0;15.0
511;32.2;0.45;424.0;26.0
512;32.2;0.475;424.0;26.0
513;32.2;0.5;435.0;15.0
514;32.2;0.5250000000000001;435.0;15.0
515;32.2;0.55;435.0;15.0
516;32.3;0.45;424.0;26.0
517;32.3;0.475;424.0;26.0
518;32.3;0.5;435.0;15.0
519;32.3;0.5250000000000001;435.0;15.0
520;32.3;0.55;435.0;15.0
521;32.4;0.45;424.0;26.0
522;32.4;0.475;424.0;26.0
523;32.4;0.5;435.0;15.0
524;32.4;0.5250000000000001;435.0;15.0
525;32.4;0.55;435.0;15.0
526;32.5;0.45;424.0;26.0
527;32.5;0.475;424.0;26.0
528;32.5;0.5;435.0;15.0
529;32.5;0.5250000000000001;435.0;15.0
530;32.5;0.55;435.0;15.0
531;32.6;0.45;424.0;26.0
532;32.6;0.475;424.0;26.0
533;32.6;0.5;435.0;15.0
534;32.6;0.5250000000000001;435.0;15.0
535;32.6;0.55;435.0;15.0
536;32.7;0.45;424.0;26.0
537;32.7;0.475;424.0;26.0
538;32.7;0.5;435.0;15.0
539;32.7;0.5250000000000001;435.0;15.0
540;32.7;0.55;435.0;15.0
541;32.8;0.45;424.0;26.0
542;32.8;0.475;424.0;26.0
543;32.8;0.5;435.0;15.0
544;32.8;0.5250000000000001;435.0;15.0
545;32.8;0.55;435.0;15.0
546;32.9;0.45;424.0;26.0
547;32.9;0.475;424.0;26.0
548;32.9;0.5;435.0;15.0
549;32.9;0.5250000000000001;435.0;15.0
550;32.9;0.55;435.0;15.0
551;33.0;0.45;424.0;26.0
552;33.0;0.475;424.0;26.0
553;33.0;0.5;435.0;15.0
554;33.0;0.5250000000000001;435.0;15.0
555;33.0;0.55;435.0;15.0
556;33.1;0.45;424.0;26.0
557;33.1;0.475;424.0;26.0
558;33.1;0.5;435.0;15.0
559;33.1;0.5250000000000001;435.0;15.0
560;33.1;0.55;435.0;15.0
561;33.2;0.45;424.0;26.0
562;33.2;0.475;424.0;26.0
563;33.2;0.5;435.0;15.0
564;33.2;0.5250000000000001;435.0;15.0
565;33.2;0.55;435.0;15.0
566;33.3;0.45;424.0;26.0
567;33.3;0.475;424.0;26.0
568;33.3;0.5;435.0;15.0
569;33.3;0.5250000000000001;435.0;15.0
570;33.3;0.55;435.0;15.0
