0;param1;param2;good;bad
379;29.500.000.000.000.100;0.5250000000000001;1013.0;67.0
380;29.500.000.000.000.100;0.55;1012.0;68.0
381;29.600.000.000.000.100;0.45;1016.0;64.0
382;29.600.000.000.000.100;0.47500000000000003;1015.0;65.0
383;29.600.000.000.000.100;0.5;1015.0;65.0
384;29.600.000.000.000.100;0.5250000000000001;1013.0;67.0
385;29.600.000.000.000.100;0.55;1012.0;68.0
386;2.970.000.000.000.010;0.45;1016.0;64.0
387;2.970.000.000.000.010;0.47500000000000003;1015.0;65.0
388;2.970.000.000.000.010;0.5;1015.0;65.0
389;2.970.000.000.000.010;0.5250000000000001;1013.0;67.0
390;2.970.000.000.000.010;0.55;1012.0;68.0
391;2.980.000.000.000.010;0.45;1016.0;64.0
392;2.980.000.000.000.010;0.47500000000000003;1015.0;65.0
393;2.980.000.000.000.010;0.5;1015.0;65.0
394;2.980.000.000.000.010;0.5250000000000001;1013.0;67.0
395;2.980.000.000.000.010;0.55;1012.0;68.0
396;29.900.000.000.000.100;0.45;1016.0;64.0
397;29.900.000.000.000.100;0.47500000000000003;1015.0;65.0
398;29.900.000.000.000.100;0.5;1015.0;65.0
399;29.900.000.000.000.100;0.5250000000000001;1013.0;67.0
400;29.900.000.000.000.100;0.55;1012.0;68.0
401;30.000.000.000.000.100;0.45;1016.0;64.0
402;30.000.000.000.000.100;0.47500000000000003;1015.0;65.0
403;30.000.000.000.000.100;0.5;1015.0;65.0
404;30.000.000.000.000.100;0.5250000000000001;1013.0;67.0
405;30.000.000.000.000.100;0.55;1012.0;68.0
406;30.100.000.000.000.100;0.45;1016.0;64.0
407;30.100.000.000.000.100;0.47500000000000003;1015.0;65.0
408;30.100.000.000.000.100;0.5;1015.0;65.0
409;30.100.000.000.000.100;0.5250000000000001;1013.0;67.0
410;30.100.000.000.000.100;0.55;1012.0;68.0
411;30.200.000.000.000.100;0.45;1016.0;64.0
412;30.200.000.000.000.100;0.47500000000000003;1015.0;65.0
413;30.200.000.000.000.100;0.5;1015.0;65.0
414;30.200.000.000.000.100;0.5250000000000001;1013.0;67.0
415;30.200.000.000.000.100;0.55;1012.0;68.0
416;30.300.000.000.000.100;0.45;1016.0;64.0
417;30.300.000.000.000.100;0.47500000000000003;1015.0;65.0
418;30.300.000.000.000.100;0.5;1015.0;65.0
419;30.300.000.000.000.100;0.5250000000000001;1013.0;67.0
420;30.300.000.000.000.100;0.55;1012.0;68.0
421;3.040.000.000.000.010;0.45;1016.0;64.0
422;3.040.000.000.000.010;0.47500000000000003;1015.0;65.0
423;3.040.000.000.000.010;0.5;1015.0;65.0
424;3.040.000.000.000.010;0.5250000000000001;1013.0;67.0
425;3.040.000.000.000.010;0.55;1012.0;68.0
426;3.050.000.000.000.010;0.45;1016.0;64.0
427;3.050.000.000.000.010;0.47500000000000003;1015.0;65.0
428;3.050.000.000.000.010;0.5;1015.0;65.0
429;3.050.000.000.000.010;0.5250000000000001;1013.0;67.0
430;3.050.000.000.000.010;0.55;1012.0;68.0
431;30.600.000.000.000.100;0.45;1016.0;64.0
432;30.600.000.000.000.100;0.47500000000000003;1015.0;65.0
433;30.600.000.000.000.100;0.5;1015.0;65.0
434;30.600.000.000.000.100;0.5250000000000001;1013.0;67.0
435;30.600.000.000.000.100;0.55;1012.0;68.0
436;30.700.000.000.000.100;0.45;1016.0;64.0
437;30.700.000.000.000.100;0.47500000000000003;1015.0;65.0
438;30.700.000.000.000.100;0.5;1015.0;65.0
439;30.700.000.000.000.100;0.5250000000000001;1013.0;67.0
440;30.700.000.000.000.100;0.55;1012.0;68.0
441;30.800.000.000.000.100;0.45;1016.0;64.0
442;30.800.000.000.000.100;0.47500000000000003;1015.0;65.0
443;30.800.000.000.000.100;0.5;1015.0;65.0
444;30.800.000.000.000.100;0.5250000000000001;1013.0;67.0
445;30.800.000.000.000.100;0.55;1012.0;68.0
446;30.900.000.000.000.100;0.45;1016.0;64.0
447;30.900.000.000.000.100;0.47500000000000003;1015.0;65.0
448;30.900.000.000.000.100;0.5;1015.0;65.0
