                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 0.8801,                0.39615,                0.90667,                0.95721,                0.86295,                0.91317,                0.60407,                 1.0697,                0.43107,                 1.0048,              0.0011308,              0.0011308,              0.0011308
                    101,                0.86532,                0.38957,                0.90546,                 0.9447,                0.86633,                0.90991,                0.60427,                 1.0594,                0.43267,                0.99907,              0.0011278,              0.0011278,              0.0011278
                    102,                0.87328,                0.39444,                0.90982,                0.92786,                0.87616,                0.91302,                0.61063,                 1.0608,                0.42762,                 1.0043,              0.0011248,              0.0011248,              0.0011248
                    103,                0.86802,                0.38742,                0.90257,                0.91008,                0.88787,                0.91012,                0.61252,                 1.0715,                0.42688,                 1.0074,              0.0011217,              0.0011217,              0.0011217
                    104,                0.87802,                0.39806,                0.91211,                0.93415,                0.88358,                0.91521,                0.60456,                 1.0641,                0.42535,                 1.0027,              0.0011187,              0.0011187,              0.0011187
                    105,                0.87762,                0.39508,                0.90845,                0.92821,                0.88775,                0.91135,                0.59703,                 1.0734,                0.43389,                 1.0073,              0.0011156,              0.0011156,              0.0011156
                    106,                 0.8789,                0.39461,                0.90667,                0.94588,                0.86457,                0.90922,                0.61008,                 1.0685,                0.42875,                  1.003,              0.0011126,              0.0011126,              0.0011126
                    107,                0.85175,                 0.3866,                0.90309,                0.91947,                0.88358,                0.91686,                0.60908,                 1.0793,                0.43103,                  1.013,              0.0011095,              0.0011095,              0.0011095
                    108,                  0.861,                0.38609,                0.90493,                0.92462,                0.88371,                0.90763,                 0.6122,                 1.0614,                0.42174,                  1.001,              0.0011065,              0.0011065,              0.0011065
                    109,                0.85592,                0.38432,                0.90116,                0.91257,                0.88258,                0.91138,                0.61151,                 1.0703,                 0.4265,                 1.0083,              0.0011035,              0.0011035,              0.0011035
                    110,                0.84522,                0.38275,                0.90176,                0.91448,                0.88459,                0.91209,                0.61335,                 1.0638,                0.43037,                 1.0067,              0.0011004,              0.0011004,              0.0011004
                    111,                0.86157,                0.39171,                0.90507,                0.93591,                0.85199,                0.89829,                0.59705,                 1.0695,                0.44033,                 1.0107,              0.0010974,              0.0010974,              0.0010974
                    112,                 0.8434,                 0.3811,                0.89685,                0.93977,                0.87929,                0.91807,                0.60938,                 1.0809,                0.42712,                 1.0083,              0.0010943,              0.0010943,              0.0010943
                    113,                0.83638,                0.37593,                0.89662,                0.92149,                0.88137,                0.91878,                0.61067,                 1.0707,                0.41942,                 1.0137,              0.0010913,              0.0010913,              0.0010913
                    114,                0.83268,                0.37426,                0.89255,                0.93598,                0.87639,                0.91747,                0.61119,                 1.0733,                0.42408,                 1.0121,              0.0010883,              0.0010883,              0.0010883
                    115,                0.84296,                0.37501,                0.89935,                0.92835,                0.87661,                0.91152,                 0.6065,                 1.0758,                0.42552,                 1.0133,              0.0010852,              0.0010852,              0.0010852
                    116,                0.83136,                0.37408,                0.89876,                0.92571,                0.87821,                0.91625,                0.61251,                 1.0712,                0.42704,                 1.0117,              0.0010822,              0.0010822,              0.0010822
                    117,                0.83035,                0.37733,                0.89464,                0.94152,                0.87093,                0.91444,                0.60882,                 1.0719,                0.42521,                 1.0121,              0.0010791,              0.0010791,              0.0010791
                    118,                0.82964,                0.37529,                0.89336,                0.95332,                0.85266,                0.90877,                0.61093,                 1.0809,                0.43102,                 1.0152,              0.0010761,              0.0010761,              0.0010761
                    119,                0.82165,                0.37448,                0.89486,                0.92317,                0.87757,                0.90928,                0.60737,                 1.0769,                0.42784,                 1.0163,               0.001073,               0.001073,               0.001073
                    120,                0.82275,                0.37135,                0.89556,                 0.9299,                0.87884,                0.91567,                0.61191,                 1.0816,                0.42486,                  1.016,                0.00107,                0.00107,                0.00107
                    121,                0.81556,                0.37353,                0.88922,                0.92088,                0.89631,                0.92187,                0.61381,                 1.0823,                0.42758,                 1.0157,               0.001067,               0.001067,               0.001067
                    122,                0.81137,                0.37216,                0.89261,                0.91921,                0.89392,                0.91751,                0.60624,                 1.0784,                0.42898,                 1.0183,              0.0010639,              0.0010639,              0.0010639
                    123,                0.80745,                 0.3731,                0.89164,                0.93492,                0.87906,                0.91713,                0.61523,                 1.0771,                0.42867,                 1.0179,              0.0010609,              0.0010609,              0.0010609
                    124,                0.80795,                0.36886,                0.88819,                0.92616,                0.87848,                0.91598,                0.60649,                 1.0829,                0.42671,                 1.0203,              0.0010578,              0.0010578,              0.0010578
                    125,                0.81225,                0.37004,                0.88938,                0.94802,                0.87249,                0.92128,                0.61121,                 1.0858,                0.42602,                 1.0199,              0.0010548,              0.0010548,              0.0010548
                    126,                 0.8107,                0.37138,                0.88999,                0.92717,                0.88995,                 0.9236,                0.61144,                 1.0897,                0.42617,                 1.0213,              0.0010517,              0.0010517,              0.0010517
                    127,                0.80116,                0.36625,                0.89139,                0.92785,                0.88944,                 0.9133,                0.60867,                 1.0839,                0.42239,                 1.0228,              0.0010487,              0.0010487,              0.0010487
                    128,                0.79623,                0.36298,                0.88461,                0.93252,                0.88799,                 0.9188,                0.61077,                 1.0833,                0.42202,                 1.0167,              0.0010457,              0.0010457,              0.0010457
                    129,                0.79513,                0.36215,                0.88243,                 0.9401,                0.87583,                0.91877,                0.61397,                 1.0818,                 0.4217,                   1.02,              0.0010426,              0.0010426,              0.0010426
                    130,                0.79592,                  0.368,                 0.8845,                0.93229,                0.87663,                0.91901,                0.61422,                 1.0811,                0.41923,                 1.0187,              0.0010396,              0.0010396,              0.0010396
                    131,                0.78372,                0.36378,                 0.8833,                0.93354,                0.88114,                0.91387,                0.60801,                 1.0835,                0.42031,                 1.0219,              0.0010365,              0.0010365,              0.0010365
                    132,                0.78656,                0.35926,                0.88671,                0.92839,                0.87749,                0.91088,                0.61145,                 1.0905,                 0.4221,                 1.0204,              0.0010335,              0.0010335,              0.0010335
                    133,                 0.7842,                0.35915,                0.88322,                0.93985,                0.87762,                0.92297,                0.61594,                  1.088,                0.42345,                 1.0208,              0.0010304,              0.0010304,              0.0010304
